YEAR,BFSNR,GDE_NAME,STF_O_KIRCHE1,STF_O_KIRCHE2,STF_O_KIRCHE3,STF_REF1,STF_REF2,STF_REF3,STF_KATH1,STF_KATH2,STF_KATH3,STF_CKRKATH1,STF_CKRKATH2,STF_CKRKATH3,JUR_PERS
2025,244,Geroldswil,112,0,0,123,0,0,121,0,0,126,0,0,121.84
2025,245,Oberengstringen,109,0,0,119,0,0,122,0,0,123,0,0,120.74
2025,246,Oetwil a.d.L.,107,0,0,118,0,0,116,0,0,121,0,0,116.94
2025,247,Schlieren,111,0,0,122,0,0,121,0,0,125,0,0,121.28
2025,248,Uitikon,78,0,0,88,0,0,88,0,0,92,0,0,88
2025,249,Unterengstringen,102,0,0,113,0,0,115,0,0,116,0,0,114.08
2025,250,Urdorf,115,0,0,125,0,0,126,0,0,129,0,0,125.56
2025,251,Weiningen,107,0,0,118,0,0,116,0,0,121,0,0,116.92
2025,261,Zürich,119,0,0,129,0,0,129,0,0,133,0,0,129.03
2025,291,Andelfingen,117,0,0,129,0,0,131,0,0,131,0,0,129.5
2025,292,Stammheim,114,0,0,128,0,0,128,0,0,128,0,0,128
2025,293,Wädenswil,103,0,0,114,117,0,116,0,0,117,0,0,114.94
2025,294,Elgg,121,0,0,135,0,0,135,0,0,135,0,0,135
2025,295,Horgen,90,0,0,100,0,0,97,0,0,104,0,0,98.47
2025,296,Illnau-Effretikon,113,0,0,126,0,0,126,113,0,127,0,0,126
2025,297,Bauma,120,0,0,134,0,0,133,0,0,134,0,0,133.69
2025,298,Wiesendangen,88,0,0,102,102,0,101,101,0,102,0,0,101.68
2024,1,Aeugst a.A.,92,0,0,104,0,0,105,0,0,106,0,0,104.35
2024,2,Affoltern a.A.,124,0,0,136,0,0,137,0,0,138,0,0,136.5
2024,3,Bonstetten,110,0,0,122,0,0,121,0,0,124,0,0,121.56
2024,4,Hausen a.A.,112,0,0,124,0,0,126,0,0,126,0,0,124.9
2024,5,Hedingen,100,0,0,112,0,0,113,0,0,114,0,0,112.4
2024,6,Kappel a.A.,102,0,0,116,0,0,116,0,0,116,0,0,116
2024,7,Knonau,116,0,0,130,0,0,130,0,0,130,0,0,130
2024,8,Maschwanden,130,0,0,142,0,0,144,0,0,144,0,0,142.72
2024,9,Mettmenstetten,98,0,0,110,0,0,112,0,0,112,0,0,110.86
2024,10,Obfelden,121,0,0,133,0,0,134,0,0,135,0,0,133.48
2024,11,Ottenbach,117,0,0,129,0,0,130,0,0,131,0,0,129.43
2024,12,Rifferswil,122,0,0,134,0,0,136,0,0,136,0,0,134.6
2024,13,Stallikon,102,0,0,113,0,0,113,0,0,116,0,0,113
2024,14,Wettswil a.A.,90,0,0,101,0,0,101,0,0,104,0,0,101
2024,22,Benken,110,0,0,124,0,0,124,0,0,124,0,0,124
2024,23,Berg a.I.,98,0,0,110,0,0,111,0,0,112,0,0,110.14
2024,24,Buch a.I.,106,0,0,118,0,0,119,0,0,120,0,0,118.18
2024,25,Dachsen,111,0,0,123,0,0,125,0,0,125,0,0,123.66
2024,26,Dorf,104,0,0,118,0,0,117,0,0,118,0,0,117.78
2024,27,Feuerthalen,114,0,0,127,0,0,128,0,0,128,0,0,127.41
2024,28,Flaach,107,0,0,119,0,0,120,0,0,121,0,0,119.25
2024,29,Flurlingen,111,0,0,123,0,0,125,0,0,125,0,0,123.6
2024,31,Henggart,102,0,0,116,0,0,115,0,0,116,0,0,115.74
2024,33,Kleinandelfingen,112,0,0,124,0,0,126,0,0,126,0,0,124.58
2024,34,Laufen-Uhwiesen,104,0,0,116,0,0,118,0,0,118,0,0,116.54
2024,35,Marthalen,107,0,0,121,0,0,121,0,0,121,0,0,121
2024,37,Ossingen,99,0,0,113,0,0,113,0,0,113,0,0,113
2024,38,Rheinau,114,0,0,128,0,0,128,0,0,128,0,0,128
2024,39,Thalheim a.d.Th.,108,0,0,120,0,0,121,0,0,122,0,0,120.22
2024,40,Trüllikon,110,0,0,124,0,0,124,0,0,124,0,0,124
2024,41,Truttikon,109,0,0,123,0,0,123,0,0,123,0,0,123
2024,43,Volken,111,0,0,123,0,0,124,0,0,125,0,0,123.22
2024,51,Bachenbülach,106,0,0,116,0,0,117,0,0,120,0,0,116.46
2024,52,Bassersdorf,114,0,0,126,0,0,123,0,0,128,0,0,124.53
2024,53,Bülach,110,0,0,120,0,0,121,0,0,124,0,0,120.49
2024,54,Dietlikon,105,0,0,116,0,0,113,0,0,119,0,0,114.5
2024,55,Eglisau,113,0,0,126,0,0,126,0,0,127,0,0,126
2024,56,Embrach,114,0,0,126,0,0,127,0,0,128,0,0,126.46
2024,57,Freienstein-Teufen,99,0,0,113,0,0,112,0,0,113,0,0,112.69
2024,58,Glattfelden,120,0,0,134,0,0,133,0,0,134,0,0,133.59
2024,59,Hochfelden,116,0,0,126,0,0,127,0,0,130,0,0,126.41
2024,60,Höri,110,0,0,120,0,0,121,0,0,124,0,0,120.56
2024,61,Hüntwangen,108,0,0,122,0,0,121,0,0,122,0,0,121.69
2024,62,Kloten,103,0,0,113,0,0,112,0,0,117,0,0,112.44
2024,63,Lufingen,92,0,0,104,0,0,105,0,0,106,0,0,104.46
2024,64,Nürensdorf,90,0,0,102,0,0,99,0,0,104,0,0,100.77
2024,65,Oberembrach,122,0,0,134,0,0,135,0,0,136,0,0,134.26
2024,66,Opfikon,94,0,0,102,0,0,101,0,0,108,0,0,101.35
2024,67,Rafz,113,0,0,127,0,0,126,0,0,127,0,0,126.64
2024,68,Rorbas,103,0,0,117,0,0,116,0,0,117,0,0,116.58
2024,69,Wallisellen,95,0,0,102,0,0,103,0,0,109,0,0,102.53
2024,70,Wasterkingen,116,0,0,130,0,0,129,0,0,130,0,0,129.75
2024,71,Wil,99,0,0,113,0,0,112,0,0,113,0,0,112.77
2024,72,Winkel,76,0,0,86,0,0,87,0,0,90,0,0,86.42
2024,81,Bachs,128,0,0,142,0,0,138,0,0,142,0,0,141
2024,82,Boppelsen,94,0,0,107,0,0,104,0,0,108,0,0,105.95
2024,83,Buchs,105,0,0,116,0,0,115,0,0,119,0,0,115.5
2024,84,Dällikon,108,0,0,119,0,0,118,0,0,122,0,0,118.43
2024,85,Dänikon,122,0,0,133,0,0,132,0,0,136,0,0,132.51
2024,86,Dielsdorf,105,0,0,117,0,0,115,0,0,119,0,0,115.94
2024,87,Hüttikon,115,0,0,128,0,0,125,0,0,129,0,0,126.5
2024,88,Neerach,77,0,0,89,0,0,87,0,0,91,0,0,88.26
2024,89,Niederglatt,106,0,0,119,0,0,116,0,0,120,0,0,117.82
2024,90,Niederhasli,112,0,0,125,0,0,122,0,0,126,0,0,123.53
2024,91,Niederweningen,102,0,0,112,0,0,112,0,0,116,0,0,112
2024,92,Oberglatt,117,0,0,130,0,0,127,0,0,131,0,0,128.26
2024,93,Oberweningen,96,0,0,106,0,0,106,0,0,110,0,0,106
2024,94,Otelfingen,112,0,0,125,0,0,122,0,0,126,0,0,123.47
2024,95,Regensberg,111,0,0,125,0,0,121,0,0,125,0,0,124.2
2024,96,Regensdorf,118,0,0,129,0,0,128,0,0,132,0,0,128.44
2024,97,Rümlang,109,0,0,123,0,0,123,0,0,123,0,0,123
2024,98,Schleinikon,108,0,0,118,0,0,118,0,0,122,0,0,118
2024,99,Schöfflisdorf,99,0,0,109,0,0,109,0,0,113,0,0,109
2024,100,Stadel,113,0,0,127,0,0,126,0,0,127,0,0,126.73
2024,101,Steinmaur,112,0,0,124,0,0,122,0,0,126,0,0,123.12
2024,102,Weiach,96,0,0,107,0,0,109,0,0,110,0,0,107.68
2024,111,Bäretswil,106,0,0,120,0,0,119,0,0,120,0,0,119.71
2024,112,Bubikon,118,0,0,132,0,0,130,131,0,132,0,0,131.62
2024,113,Dürnten,113,0,0,127,0,0,125,0,0,127,0,0,126.12
2024,114,Fischenthal,122,0,0,136,0,0,135,0,0,136,0,0,135.68
2024,115,Gossau,117,0,0,131,0,0,131,0,0,131,0,0,131
2024,116,Grüningen,113,0,0,125,0,0,126,0,0,127,0,0,125.34
2024,117,Hinwil,112,0,0,124,0,0,128,0,0,126,0,0,125.6
2024,118,Rüti,119,0,0,133,0,0,131,0,0,133,0,0,131.94
2024,119,Seegräben,113,0,0,125,0,0,127,0,0,127,0,0,125.7
2024,120,Wald,122,0,0,136,0,0,135,0,0,136,0,0,135.51
2024,121,Wetzikon,119,0,0,133,0,0,133,0,0,133,0,0,133
2024,131,Adliswil,102,0,0,112,0,0,112,0,0,116,0,0,112
2024,135,Kilchberg,72,0,0,81,0,0,78,0,0,86,0,0,79.59
2024,136,Langnau a.A.,106,0,0,116,0,0,120,0,0,120,0,0,118.12
2024,137,Oberrieden,88,0,0,100,0,0,99,0,0,102,0,0,99.58
2024,138,Richterswil,99,0,0,111,0,0,113,0,0,113,0,0,111.98
